stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
tyrol-w5_r0c4,0,0,7154,8,0,0,0,0,0,0.0
tyrol-w5_r1c0,0,0,1045,2,0,0,0,0,0,0.0
tyrol-w5_r1c1,3551,3987,11771,12,2,0,0,3,5,0.035536159600997506
tyrol-w5_r1c2,0,0,1928,3,0,0,0,0,0,0.0
tyrol-w5_r1c3,0,0,0,0,0,0,0,0,0,nan
tyrol-w5_r1c4,5583,3369,12198,14,6,1,0,0,5,0.0421637522470992
tyrol-w5_r2c0,6258,15556,6274,9,3,0,0,3,6,0.042580831408775985
tyrol-w5_r2c1,162753,244350,13588,20,16,11,1,19,25,0.02461775664910703
tyrol-w5_r2c2,203417,380685,5415,19,15,14,0,6,7,0.007699923000769993
tyrol-w5_r2c3,287268,372119,6205,22,17,15,0,2,4,0.014584848600849826
tyrol-w5_r2c4,277655,431561,12493,50,46,43,2,19,24,0.02411886782581399
tyrol-w5_r3c0,63541,32378,18304,9,6,4,0,7,9,0.03559095073648601
tyrol-w5_r3c1,168251,75602,9590,8,6,5,0,12,13,0.014119879450831567
tyrol-w5_r3c2,179215,112821,3433,15,15,14,0,15,16,0.03077250478825282
tyrol-w5_r3c3,112095,210405,6888,9,8,6,0,13,15,0.009065028468684446
tyrol-w5_r3c4,88860,117609,4105,9,8,6,0,12,14,0.02321169512331213
tyrol-w5_r4c0,3543,1121,7174,6,3,1,0,0,2,0.06885559451705452
tyrol-w5_r4c1,0,0,0,0,0,0,0,0,0,nan
tyrol-w5_r4c2,0,0,0,0,0,0,0,0,0,nan
tyrol-w5_r4c3,0,0,0,0,0,0,0,0,0,nan
tyrol-w5_r4c4,0,0,0,0,0,0,0,0,0,nan
vienna1_r0c0,63087,12220,90184,166,51,2,5,19,73,0.1310560918624237
vienna1_r0c1,52727,8307,107665,196,59,0,1,22,82,0.11970723773380319
vienna1_r0c2,62069,16814,113263,182,56,1,2,31,87,0.09320824654343868
